Date	DASH	XMR	ETC	LTC	EOS	XRP	TRX
2019-10-08	74.12186431884766	57.446529388427734	5.0737080574035645	59.43086624145508	3.252573013305664	0.28162699937820435	0.0169840008020401
2019-10-09	72.7978515625	55.95108413696289	4.849394798278809	57.776084899902344	3.1593070030212402	0.27207300066947937	0.01631299965083599
2019-10-10	70.50162506103516	54.48323440551758	4.682753086090088	56.29697036743164	3.136676073074341	0.2710990011692047	0.01599299907684326
2019-10-11	71.1110610961914	53.811214447021484	4.7267608642578125	55.98286819458008	3.0853939056396484	0.27319100499153137	0.015740999951958656
2019-10-12	70.91390991210938	53.525482177734375	4.761198043823242	56.71399688720703	3.120781898498535	0.2777650058269501	0.016137000173330307
2019-10-13	71.3218002319336	53.02199172973633	4.804969787597656	56.97540283203125	3.1683149337768555	0.29652300477027893	0.016731999814510345
2019-10-14	71.64742279052734	52.18826675415039	4.569262981414795	54.94420623779297	2.9902470111846924	0.28870201110839844	0.015744000673294067
2019-10-15	68.50264739990234	55.08811950683594	4.4546098709106445	52.9231071472168	2.9467499256134033	0.28464001417160034	0.015286999754607677
2019-10-16	69.26785278320312	56.05326461791992	4.513628005981445	54.88447570800781	2.9647469520568848	0.30231499671936035	0.015441999770700932
2019-10-17	68.16639709472656	56.50609588623047	4.435513973236084	53.49169158935547	2.889918088912964	0.2950049936771393	0.015416000038385391
2019-10-18	67.72248077392578	54.69813919067383	4.445121765136719	54.03457260131836	2.8821330070495605	0.2930220067501068	0.015525000169873238
2019-10-19	69.30138397216797	56.42353439331055	4.517395973205566	54.93437957763672	2.925215005874634	0.2941789925098419	0.015552000142633915
2019-10-20	69.02086639404297	57.83829879760742	4.601802825927734	54.938297271728516	2.940769910812378	0.29297900199890137	0.015598000027239323
2019-10-21	67.59142303466797	56.658809661865234	4.4768757820129395	53.744361877441406	2.904407024383545	0.29160699248313904	0.015212000347673893
2019-10-22	63.185726165771484	53.009220123291016	4.258477210998535	49.62795639038086	2.722038984298706	0.2741430103778839	0.014317999593913555
2019-10-23	63.31039810180664	53.55207824707031	4.304562091827393	50.067665100097656	2.749314069747925	0.27849099040031433	0.015297999605536461
2019-10-24	70.36063385009766	58.97127151489258	4.751358985900879	56.93901062011719	3.1808359622955322	0.2981649935245514	0.017638999968767166
2019-10-25	70.72522735595703	56.73090744018555	4.578539848327637	56.77525329589844	3.136286973953247	0.2936989963054657	0.016581999137997627
2019-10-26	71.75894927978516	59.75286865234375	4.797802925109863	59.91399002075195	3.3380770683288574	0.29809999465942383	0.01913199946284294
2019-10-28	72.26484680175781	59.54887771606445	4.765583038330078	58.12683868408203	3.297260046005249	0.2960070073604584	0.020183999091386795
2019-10-29	73.51058197021484	59.86435317993164	4.934965133666992	59.869625091552734	3.4074289798736572	0.3019559979438782	0.021990999579429626
2019-10-30	72.55442810058594	58.620704650878906	4.817831039428711	58.42097091674805	3.297739028930664	0.2965550124645233	0.020114000886678696
2019-10-31	72.17375946044922	59.29570388793945	4.839877128601074	58.78068542480469	3.2763009071350098	0.29635798931121826	0.019897999241948128
2019-11-01	72.08428955078125	60.87179183959961	4.885276794433594	58.58364486694336	3.354372024536133	0.2926419973373413	0.019675999879837036
2019-11-02	72.451416015625	62.30655288696289	4.9423627853393555	58.59702682495117	3.334355115890503	0.2962630093097687	0.019958000630140305
2019-11-03	71.41796875	63.467376708984375	4.900924205780029	58.62519073486328	3.284588098526001	0.2912609875202179	0.019700000062584877
2019-11-04	72.82027435302734	63.13353729248047	4.974390029907227	61.573055267333984	3.445064067840576	0.29993700981140137	0.01983099989593029
2019-11-05	74.37531280517578	62.98447799682617	5.034235954284668	63.302764892578125	3.6200199127197266	0.3012549877166748	0.01985199935734272
2019-11-06	74.55908203125	64.20882415771484	5.085643768310547	64.26874542236328	3.6234209537506104	0.3100860118865967	0.020188000053167343
2019-11-07	73.02578735351562	63.50532913208008	5.260153770446777	61.843223571777344	3.496380090713501	0.2924309968948364	0.01962300017476082
2019-11-08	69.76409149169922	60.89073181152344	4.993382930755615	60.5299186706543	3.421160936355591	0.2769530117511749	0.018794000148773193
2019-11-09	69.86309051513672	62.182247161865234	4.959321022033691	61.9547119140625	3.4887149333953857	0.28019601106643677	0.018964000046253204
2019-11-10	71.5692138671875	63.90266418457031	5.052620887756348	63.84146499633789	3.5845110416412354	0.28020399808883667	0.019401999190449715
2019-11-11	70.3617935180664	61.92992401123047	4.90083122253418	61.89910888671875	3.447803020477295	0.275085985660553	0.019096000120043755
2019-11-12	70.3759994506836	62.25762939453125	4.905290126800537	61.34029769897461	3.482440948486328	0.27241799235343933	0.019613999873399734
2019-11-13	69.99606323242188	65.33023834228516	4.862955093383789	61.11134719848633	3.480120897293091	0.27303600311279297	0.02011300064623356
2019-11-14	69.15520477294922	65.53817749023438	4.782705783843994	59.429893493652344	3.419981002807617	0.27039098739624023	0.019509000703692436
2019-11-15	68.20874786376953	61.95836639404297	4.56574821472168	57.811710357666016	3.344672918319702	0.26165398955345154	0.018617000430822372
2019-11-16	68.40682983398438	62.00735855102539	4.666598796844482	58.56543731689453	3.4059500694274902	0.2638860046863556	0.018794000148773193
